"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","Source Path","Source File","Source File Index","Chirality 1","chembl_id","chembl_pref_name","Chirality 2","Chirality 3","Chirality 4","Chirality 5","Chirality 6","Chirality 7","Chirality 8","Chirality 9","Chirality 10","Chirality 11","Chirality 12","Chirality 13","Chirality 14","Chirality 15","Chirality 16","Chirality 17","Chirality 18","Chirality 19","Chirality 20","Chirality 21","Chirality 22","Chirality 23","Chirality 24","Chirality 25","Chirality 26","Chirality 27","Chirality 28","Chirality 29","Chirality 30","mmshare version","flags","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","EZ 1","Force Field","Energy","Chiralities Consistent","Variant","job name","tautomer probability","Chemistry Notes","EZ 2","EZ 3","EZ 4","EZ 5","EZ 6","EZ 7","EZ 8","EZ 9","EZ 10","EZ 11","EZ 12","EZ 13","EZ 14","EZ 15","EZ 16","PDB TITLE","PDB ID","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Chains","PDB REMARK 350 Biomolecule 1 Transformation 1","entry id backup","prepared","assigned bond orders","added hydrogens","treated metals","created disulfur","deleted far waters","ran protassign","Potential Energy-OPLS3","RMS Derivative-OPLS3","Max Derivative-OPLS3","Stretch Energy-OPLS3","Bend Energy-OPLS3","LJ-14 Energy-OPLS3","El-14 Energy-OPLS3","Van der Waals Energy-OPLS3","Electrostatic Energy-OPLS3","Dihedral Energy-OPLS3","target temperature","ran impref","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","Mark"
,"CHEMBL35886","1734","chembl_ligands_with_ids.306","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",12,"","CHEMBL35886","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",36.732,true,"CHEMBL35886-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",623,3,-5.109,-0.269,-0.718,-1.295,-5.174,-0.624,-0.851,0.000,-1.953,-19.100,-8.659,0.540,-0.033,-36.044,-27.758,0.655,1,10,0.065,
,"CHEMBL446271","1735","chembl_ligands_with_ids.253","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",13,"","CHEMBL446271","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0002,0.0000,0.0002,0.0000,0.000,-3,3,"2_3_4_5_Z","OPLS3",119.850,true,"CHEMBL446271-1","ligprep_6",1.000,"This compound has an imine and may undergo hydrolysis.","4_5_8_9_E","5_6_7_2_Z","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",538,10,-5.100,-0.098,-0.366,-1.030,-5.100,-1.077,-0.043,0.000,-0.141,-32.464,-13.859,0.074,-0.211,-61.976,-46.323,13.373,10,67,0.000,
,"CHEMBL42325","1736","chembl_ligands_with_ids.309","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",14,"","CHEMBL42325","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0301,0.0178,0.0122,0.4178,0.436,0,0,"","OPLS3",16.839,true,"CHEMBL42325-1","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",627,8,-5.094,-0.182,-0.552,-1.176,-5.512,-1.928,-0.691,0.000,-0.911,-31.597,-8.653,0.956,-0.060,-50.748,-40.250,5.477,83,256,0.418,
,"CHEMBL52562","1737","chembl_ligands_with_ids.54","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",15,"","CHEMBL52562","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",35.483,true,"CHEMBL52562-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",132,2,-5.046,-0.280,-0.735,-1.297,-5.111,-0.557,-0.850,0.000,-1.907,-18.583,-9.015,0.518,-0.034,-35.521,-27.598,0.644,1,267,0.065,
,"CHEMBL3306225","1738","chembl_ligands_with_ids.479","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",16,"2_R_7_1_6_26","CHEMBL3306225","None","6_R_13_2_9_27","9_S_15_10_6_29","10_R_7_9_16_30","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.1033,0.1033,0.0000,0.0922,0.195,-3,3,"","OPLS3",16.443,true,"CHEMBL3306225-1","ligprep_6",1.000,"This compound contains an acetal/aminal-like group ( X-CH(R)-Y where X, Y are N, S, or O) that may be acid/base labile, releasing an aldehyde.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",915,9,-5.043,-0.202,-0.590,-1.195,-5.135,-0.001,-0.701,0.000,-1.268,-18.698,-18.930,0.609,0.000,-52.992,-37.628,6.444,282,159,0.092,
,"CHEMBL1253549","1739","chembl_ligands_with_ids.123","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",17,"","CHEMBL1253549","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0005,0.0005,0.0000,0.0003,0.001,-1,1,"","OPLS3",24.253,true,"CHEMBL1253549-1","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",284,0,-5.036,-0.458,-1.018,-1.482,-5.037,-0.901,-0.320,0.000,-2.164,-10.786,-7.419,0.000,0.000,-25.473,-18.205,0.000,1,246,0.000,
,"CHEMBL1347122","1740","chembl_ligands_with_ids.383","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",18,"","CHEMBL1347122","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0003,0.0000,0.0003,0.0000,0.000,0,0,"","OPLS3",18.460,true,"CHEMBL1347122-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",759,9,-5.025,-0.179,-0.545,-1.160,-5.025,-2.058,-0.438,0.000,-0.837,-36.562,-5.322,0.935,0.000,-50.167,-41.885,7.850,236,175,0.000,
,"CHEMBL1822706","1741","chembl_ligands_with_ids.528","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",19,"","CHEMBL1822706","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,1.2166,0.8165,0.4001,1.3118,2.128,3,3,"","OPLS3",91.832,true,"CHEMBL1822706-3","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",1004,14,-5.018,-0.082,-0.324,-0.982,-6.330,-1.705,-0.759,0.000,-0.273,-43.076,-10.834,0.244,-0.059,-66.907,-53.910,10.361,27,194,1.312,
,"CHEMBL1536896","1742","chembl_ligands_with_ids.477","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",20,"","CHEMBL1536896","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.1421,0.0010,0.1411,0.1304,0.131,-1,1,"","OPLS3",82.125,true,"CHEMBL1536896-1","ligprep_6",,"This compound has an ester and may undergo hydrolysis at high or low pH.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",911,11,-5.017,-0.136,-0.452,-1.088,-5.148,-1.338,-0.610,0.000,-0.383,-32.531,-11.224,0.494,0.000,-56.879,-43.755,6.166,212,27,0.130,
,"CHEMBL452151","1743","chembl_ligands_with_ids.379","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",21,"","CHEMBL452151","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0015,0.0000,0.0015,0.0000,0.000,0,0,"","OPLS3",41.534,true,"CHEMBL452151-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",752,6,-4.972,-0.191,-0.567,-1.168,-4.972,-1.418,-0.841,0.000,-1.243,-23.766,-6.107,0.634,0.000,-36.621,-29.874,3.575,9,257,0.000,
,"CHEMBL51613","1744","chembl_ligands_with_ids.426","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",22,"","CHEMBL51613","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",36.367,true,"CHEMBL51613-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",833,2,-4.963,-0.261,-0.697,-1.258,-5.028,-0.588,-0.849,0.000,-1.674,-18.695,-9.116,0.418,-0.033,-35.818,-27.811,0.238,2,379,0.065,
,"CHEMBL53307","1745","chembl_ligands_with_ids.326","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",23,"","CHEMBL53307","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",32.875,true,"CHEMBL53307-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",661,2,-4.963,-0.261,-0.697,-1.258,-5.028,-0.534,-0.849,0.000,-1.673,-19.497,-9.211,0.418,-0.033,-36.707,-28.708,1.051,6,342,0.065,
,"CHEMBL4070921","1746","chembl_ligands_with_ids.171","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",24,"","CHEMBL4070921","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0001,0.0000,0.0001,0.0000,0.000,0,0,"","OPLS3",38.558,true,"CHEMBL4070921-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",383,12,-4.949,-0.118,-0.410,-1.045,-4.949,-2.267,-0.320,0.000,-0.326,-34.149,-5.142,0.444,-0.001,-48.318,-39.291,8.205,183,206,0.000,
,"CHEMBL511384","1747","chembl_ligands_with_ids.281","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",25,"","CHEMBL511384","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0000,0.0000,0.0000,0.0000,0.000,0,0,"15_18_19_20_E","OPLS3",13.456,true,"CHEMBL511384-1","ligprep_6",1.000,"This compound has an ester and may undergo hydrolysis at high or low pH.","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",582,8,-4.931,-0.205,-0.593,-1.180,-4.931,-1.826,-0.608,0.000,-1.565,-26.056,-5.524,1.233,-0.034,-39.310,-31.580,3.308,1,229,0.000,
,"CHEMBL287727","1748","chembl_ligands_with_ids.113","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",26,"","CHEMBL287727","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0050,0.0041,0.0009,0.0650,0.069,0,0,"","OPLS3",35.806,true,"CHEMBL287727-1","ligprep_6",0.882,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",270,2,-4.925,-0.290,-0.745,-1.285,-4.990,-0.453,-0.850,0.000,-2.144,-16.929,-8.829,0.659,-0.033,-32.859,-25.758,0.936,4,383,0.065,
,"CHEMBL3120363","1749","chembl_ligands_with_ids.188","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",27,"","CHEMBL3120363","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0011,0.0011,0.0000,0.0007,0.002,-1,3,"","OPLS3",21.715,true,"CHEMBL3120363-1","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",419,5,-4.907,-0.213,-0.607,-1.187,-4.908,-0.994,-0.320,0.000,-1.724,-21.977,-8.772,0.581,-0.036,-40.909,-30.749,4.128,11,316,0.001,
,"CHEMBL164","1750","chembl_ligands_with_ids.37","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",28,"","CHEMBL164","MYRICETIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0273,0.0000,0.0273,0.0115,0.011,0,0,"","OPLS3",24.646,true,"CHEMBL164-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",73,7,-4.900,-0.213,-0.606,-1.185,-4.911,-0.834,-0.571,0.000,-1.239,-17.992,-10.346,0.184,0.000,-36.363,-28.338,0.844,2,311,0.011,
,"CHEMBL1822708","1751","chembl_ligands_with_ids.157","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",29,"","CHEMBL1822708","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.7585,0.1231,0.6353,1.5045,1.628,2,2,"","OPLS3",83.459,true,"CHEMBL1822708-6","ligprep_6",,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",348,16,-4.881,-0.077,-0.308,-0.949,-6.385,-1.888,-0.312,0.000,-0.603,-53.678,-7.663,0.274,-0.023,-81.039,-61.341,7.568,15,39,1.504,
,"CHEMBL3948302","1752","chembl_ligands_with_ids.93","2024-01-16 14:44:45","2024-01-16 14:44:45","/home/users/mnguyen/ipz/glide-dock_SP_chembl_ligands","glide-dock_SP_chembl_ligands_pv.maegz",30,"","CHEMBL3948302","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",37011,0,0.0056,0.0000,0.0056,0.0000,0.000,0,0,"","OPLS3",26.181,true,"CHEMBL3948302-1","ligprep_6",1.000,"","","","","","","","","","","","","","","","","","","","","",,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"glide-grid_test",238,4,-4.863,-0.195,-0.569,-1.153,-4.863,-1.045,-0.608,0.000,-1.231,-23.148,-7.287,0.310,-0.039,-37.741,-30.434,3.282,4,68,0.000,
